number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
11,sodium,na,"sodium, na","/?so?di?m/, soh-dee-?m",silvery white metallic,11,"group 1 (alkali metals), s-block",3,alkali metal,22.98976928,[ne] 3s1,2,,solid,370.944,1156.09,,0.927,,,2573,2.6,97.42,28.23,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 554, 617, 697, 802, 946, 1153","+1, ?1 (a strongly basic oxide)",pauling scale: 0.93,"1st: 495.8 kj/mol, 2nd: 4562 kj/mol, 3rd: 6910.3 kj/mol, (more)",166±9 pm,227,body-centered cubic (bcc),,142,paramagnetic,7440-23-5,,,"iso, na, half-life, dm, de (mev), dp, 22na, trace, 2.602 y, ?+??, 0.5454, 22ne*, 1.27453(2), 22ne, ???, –, 22ne*, 1.27453(2), 22ne, ?+, 1.8200, 22ne, 23na, 100%, 23na is stable with 12 neutrons",554,,,0.968,empirical: 186 pm,3200,71,47.7,10,3.3,6.3,0.5,0.69,,,,,,,,,,humphry davy (1807),,,,,,,,,,,
12,magnesium,mg,"magnesium, mg","/mæ??ni?zi?m/, mag-nee-zee-?m",shiny grey solid,12,"group 2 (alkaline earth metals), s-block",3,alkaline earth metal,24.305,[ne] 3s2,2,,solid,923,1363,,1.584,,,,8.48,128,24.869,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 701, 773, 861, 971, 1132, 1361","+2, +1 (a strongly basic oxide)",pauling scale: 1.31,"1st: 737.7 kj/mol, 2nd: 1450.7 kj/mol, 3rd: 7732.7 kj/mol, (more)",141±7 pm,173,hexagonal close-packed (hcp),,156,paramagnetic,7439-95-4,joseph black (1755),,"iso, na, half-life, dm, de (mev), dp, 24mg, 79.0%, 24mg is stable with 12 neutrons, 25mg, 10.0%, 25mg is stable with 13 neutrons, 26mg, 11.0%, 26mg is stable with 14 neutrons",701,"after magnesia, greece",humphry davy (1808),1.738,empirical: 160 pm,4940,24.8,43.9,45,17,45,1–2.5,44–260 mpa,0.29,,,,,,,,,,,,,,,,,,,,
13,aluminum,al,"aluminium, al","uk i/?ælj??m?ni?m/, al-ew-min-ee-?m, us i/??lju?m?n?m/, ?-lew-mi-n?m",silvery gray metallic,13,"group 13, p-block",3,"post-transition metal, sometimes considered a metalloid",26.98153857,[ne] 3s2 3p1,2,,solid,933.47,2743,,2.375,,,,10.71,284,24.2,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1482, 1632, 1817, 2054, 2364, 2790","+3, +2, +1, ?1, ?2 (an amphoteric oxide)",pauling scale: 1.61,"1st: 577.5 kj/mol, 2nd: 1816.7 kj/mol, 3rd: 2744.8 kj/mol, (more)",121±4 pm,184,face-centered cubic (fcc),,237,paramagnetic,7429-90-5,,humphry davy (1807),"iso, na, half-life, dm, de (mev), dp, 26al, trace, 7.17×105 y, ?+, 1.17, 26mg, ?, –, 26mg, ?, 1.8086, –, 27al, 100%, 27al is stable with 14 neutrons",1482,,hans christian ørsted (1825),2.7,empirical: 143 pm,(rolled) 5000 m/s (at r.t.),23.1,28.2,70,26,76,2.75,160–550 mpa,0.35,160–350 mpa,,,,,,,antoine lavoisier (1787),,aluminum (us),,,,,,,,,,
14,silicon,si,"silicon, si","/?s?l?k?n/ or /?s?l?k?n/, sil-?-k?n or sil-?-kon","crystalline, reflective with bluish-tinged faces",14,"group 14 (carbon group), p-block",3,metalloid,28.085,[ne] 3s2 3p2,2,,solid,1687,3538,,2.57,,,,50.21,383,19.789,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1908, 2102, 2339, 2636, 3021, 3537",4,pauling scale: 1.90,"1st: 786.5 kj/mol, 2nd: 1577.1 kj/mol, 3rd: 3231.6 kj/mol, (more)",111,210,face-centered diamond-cubic,,149,diamagnetic,7440-21-3,,thomas thomson (1817),"iso, na, half-life, dm, de (mev), dp, 28si, 92.2%, 28si is stable with 14 neutrons, 29si, 4.7%, 29si is stable with 15 neutrons, 30si, 3.1%, 30si is stable with 16 neutrons, 31si, trace, 2.62 h, ??, 1.495, 31p, 32si, trace, 153 y, ??, 13.020, 32p",1908,"after latin 'silex' or 'silicis', meaning flint",,2.329,empirical: 111 pm,8433,2.6,2.3×103 ?·m (at 20 °c),130–188 gpa,51–80 gpa,97.6,7,,0.064–0.28,,,,,,,,antoine lavoisier (1787),jöns jacob berzelius (1823),,1.12,,,,,,,,,
15,phosphorus,p,"phosphorus, p","/?f?sf?r?s/, fos-f?r-?s","colourless, waxy white, yellow, scarlet, red, violet, black",15,"group 15 (pnictogens), p-block",3,polyatomic nonmetal,30.973762,[ne] 3s2 3p3,2,,solid,,,,,,,,white: 0.66 kj/mol,,white: 23.824 j/(mol·k),"vapour pressure (red, b.p. 431 °c)



p (pa)
1
10
100
1 k
10 k
100 k


at t (k)
455
489
529
576
635
704",5,pauling scale: 2.19,,107±3 pm,180,body-centred cubic (bcc),,"white: 0.236 w/(m·k), black: 12.1 w/(m·k)","white, red, violet, black: diamagnetic","white: 12185-10-3, red: 7723-14-0",hennig brand (1669),,"iso, na, half-life, dm, de (mev), dp, 31p, 100%, 31p is stable with 16 neutrons, 32p, trace, 14.28 d, ??, 1.709, 32s, 33p, trace, 25.3 d, ??, 0.249, 33s",455,,,"white: 1.823 g·cm?3, red: ? 2.2–2.34 g·cm?3, violet: 2.36 g·cm?3, black: 2.69 g/cm3",,,,,,,"white: 5 gpa, red: 11 gpa",,,,,,,,,white: 51.9 kj/mol,"1st: 1011.8 kj/mol, 2nd: 1907 kj/mol, 3rd: 2914.1 kj/mol, (more)",,,,,antoine lavoisier (1777),,,,,,,,
16,sulfur,s,"sulfur, s","/?s?lf?r/, sul-f?r",lemon yellow sintered microcrystals,16,"group 16 (chalcogens), p-block",3,polyatomic nonmetal,32.06,[ne] 3s2 3p4,2,,solid,388.36,717.8,,1.819,,,1314,mono: 1.727 kj/mol,mono: 45 kj/mol,22.75,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 375, 408, 449, 508, 591, 717",6,pauling scale: 2.58,"1st: 999.6 kj/mol, 2nd: 2252 kj/mol, 3rd: 3357 kj/mol, (more)",105±3 pm,180,orthorhombic,,0.205,diamagnetic,7704-34-9,chinese (before 2000 bce),,"iso, na, half-life, dm, de (mev), dp, 32s, 94.99%, 32s is stable with 16 neutrons, 33s, 0.75%, 33s is stable with 17 neutrons, 34s, 4.25%, 34s is stable with 18 neutrons, 35s, trace, 87.32 d, ??, 0.167, 35cl, 36s, 0.01%, 36s is stable with 20 neutrons",375,,,"alpha: 2.07 g/cm3, beta: 1.96 g/cm3, gamma: 1.92 g/cm3",,,,2×1015  ?·m (at 20 °c) (amorphous),,,7.7,2,,,,,,,antoine lavoisier (1777),,,,,sulphur,,,,,,,,,,
17,chlorine,cl,"chlorine, cl","/?kl??ri?n/ or /?kl??r?n/, klohr-een or klohr-?n",pale yellow-green gas,17,"group 17 (halogens), p-block",3,diatomic nonmetal,35.45,[ne] 3s2 3p5,2,,gas,171.6,239.11,3.2,,1.5625,,416.9,(cl2) 6.406 kj/mol,,"(cl2), 33.949 j/(mol·k)","vapour pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 128, 139, 153, 170, 197, 239",7,pauling scale: 3.16,,102±4 pm,175,orthorhombic,206,8.9×10?3 w/(m·k),diamagnetic,7782-50-5,,,"iso, na, half-life, dm, de (mev), dp, 35cl, 76%, 35cl is stable with 18 neutrons, 36cl, trace, 3.01×105 y, ??, 0.709, 36ar, ?, –, 36s, 37cl, 24%, 37cl is stable with 20 neutrons",128,,,,,,,>10 ?·m (at 20 °c),,,,,,,,,,,humphry davy (1808),(cl2) 20.41 kj/mol,"1st: 1251.2 kj/mol, 2nd: 2298 kj/mol, 3rd: 3822 kj/mol, (more)",,carl wilhelm scheele (1774),,,,,,,,,,,
18,argon,ar,"argon, ar","/???r??n/, ar-gon",colorless gas exhibiting a lilac/violet glow when placed in a high voltage electric field,18,"group 18 (noble gases), p-block",3,noble gas,39.9481,[ne] 3s2 3p6,2,,gas,83.81,87.302,1.784,,1.3954,83.8058,150.687,1.18,6.53,20.85,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 47, 53, 61, 71, 87",0,pauling scale: no data,"1st: 1520.6 kj/mol, 2nd: 2665.8 kj/mol, 3rd: 3931 kj/mol, (more)",106±10 pm,188,face-centered cubic (fcc),323,17.72×10?3  w/(m·k),diamagnetic,7440-37-1,,,"iso, na, half-life, dm, de (mev), dp, 36ar, 0.334%, 36ar is stable with 18 neutrons, 37ar, syn, 35 d, ?, 0.813, 37cl, 38ar, 0.063%, 38ar is stable with 20 neutrons, 39ar, trace, 269 y, ??, 0.565, 39k, 40ar, 99.604%, 40ar is stable with 22 neutrons, 41ar, syn, 109.34 min, ??, 2.49, 41k, 42ar, syn, 32.9 y, ??, 0.600, 42k",,,,,,,,,,,,,,,,,,,,,,,lord rayleigh and william ramsay (1894),,,,,,,,,,,
19,potassium,k,"potassium, k","/po??tæsi?m/, po-tas-ee-?m",silvery gray,19,"group 1 (alkali metals), s-block",4,alkali metal,39.09831,[ar] 4s1,2,,solid,336.7,1032,,0.828,,,2223,2.33,76.9,29.6,,"+1, ?1 (a strongly basic oxide)",pauling scale: 0.82,"1st: 418.8 kj/mol, 2nd: 3052 kj/mol, 3rd: 4420 kj/mol, (more)",203±12 pm,275,body-centered cubic (bcc),,102.5,paramagnetic,7440-09-7,,,"iso, na, half-life, dm, de (mev), dp, 39k, 93.258%, 39k is stable with 20 neutrons, 40k, 0.012%, 1.248(3)×109 y, ??, 1.311, 40ca, ?, 1.505, 40ar, ?+, 1.505, 40ar, 41k, 6.730%, 41k is stable with 22 neutrons",,,,0.862,empirical: 227 pm,2000,83.3,72,3.53,1.3,3.1,0.4,0.363,,,,,,,,,,humphry davy (1807),,,,,,,,,,,
20,calcium,ca,"calcium, ca","/?kælsi?m/, kal-see-?m","dull gray, silver; with a pale yellow tint",20,"group 2 (alkaline earth metals), s-block",4,alkaline earth metal,40.0784,[ar] 4s2,2,,solid,1115,1757,,1.378,,,,8.54,154.7,25.929,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 864, 956, 1071, 1227, 1443, 1755","+2, +1 (a strongly basic oxide)",pauling scale: 1.00,"1st: 589.8 kj/mol, 2nd: 1145.4 kj/mol, 3rd: 4912.4 kj/mol, (more)",176±10 pm,231,face-centered cubic (fcc),,201,diamagnetic,7440-70-2,,,"iso
na
half-life
dm
de (mev)
dp


40ca
96.941%
40ca is stable with 20 neutrons


41ca
trace
1.03×105 y
?
–
41k


42ca
0.647%
42ca is stable with 22 neutrons


43ca
0.135%
43ca is stable with 23 neutrons


44ca
2.086%
44ca is stable with 24 neutrons


45ca
syn
162.7 d
??
0.258
45sc


46ca
0.004%
46ca is stable with 26 neutrons


47ca
syn
4.536 d
??
0.694, 1.99
47sc


?
1.297
–


48ca
0.187%
4.3×1019 y
????
4.274
48ti",864,,,1.55,empirical: 197 pm,3810,22.3,33.6,20,7.4,17,1.75,170–416 mpa,0.31,,,,,,,,,humphry davy (1808),,,,,,,,,,,
21,scandium,sc,"scandium, sc","/?skændi?m/, skan-dee-?m",silvery white,21,"group 3, d-block",4,transition metal,44.9559085,[ar] 3d1 4s2,2,,solid,1814,3109,,2.8,,,,14.1,332.7,25.52,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1645, 1804, (2006), (2266), (2613), (3101)",3,pauling scale: 1.36,"1st: 633.1 kj/mol, 2nd: 1235.0 kj/mol, 3rd: 2388.6 kj/mol, (more)",170±7 pm,211,hexagonal close-packed (hcp),,15.8,paramagnetic,7440-20-2,,,"iso
na
half-life
dm
de (mev)
dp


44m2sc
syn
58.61 h
it
0.2709
44sc


?
1.0, 1.1, 1.1
44sc


?
–
44ca


45sc
100%
45sc is stable with 24 neutrons


46sc
syn
83.79 d
??
0.3569
46ti


?
0.889, 1.120
–


47sc
syn
3.3492 d
??
0.44, 0.60
47ti


?
0.159
–


48sc
syn
43.67 h
??
0.661
48ti


?
0.9, 1.3, 1.0
–",1645,after scandinavia,,2.985,empirical: 162 pm,,"?, poly: 10.2 μm/(m·k) (at r.t.)","?, poly: 562 n?·m (at r.t., calculated)",74.4,29.1,56.6,,736–1200 mpa,0.279,,,,,,,,dmitri mendeleev (1871),lars fredrik nilson (1879),,,,,,,,,,,
22,titanium,ti,"titanium, ti","/ta??te?ni?m/, ty-tay-nee-?m",silvery grey-white metallic,22,"group 4, d-block",4,transition metal,47.8671,[ar] 3d2 4s2,2,,solid,1941,3560,,4.11,,,,14.15,425,25.06,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1982, 2171, (2403), 2692, 3064, 3558",4,pauling scale: 1.54,"1st: 658.8 kj/mol, 2nd: 1309.8 kj/mol, 3rd: 2652.5 kj/mol, (more)",160±8 pm,,hexagonal close-packed (hcp),,21.9,paramagnetic,7440-32-6,william gregor (1791),martin heinrich klaproth (1795),"iso
na
half-life
dm
de (mev)
dp


44ti
syn
63 y
?
–
44sc


?
0.07d, 0.08d
–


46ti
8.25%
46ti is stable with 24 neutrons


47ti
7.44%
47ti is stable with 25 neutrons


48ti
73.72%
48ti is stable with 26 neutrons


49ti
5.41%
49ti is stable with 27 neutrons


50ti
5.18%
50ti is stable with 28 neutrons",1982,,jöns jakob berzelius (1825),4.506,empirical: 147 pm,5090,8.6,420,116,44,110,6,716–2770 mpa,0.32,830–3420 mpa,,,,,,,,,,,,,,,,,,,
23,vanadium,v,"vanadium, v","/v??ne?di?m/, v?-nay-dee-?m",blue-silver-grey metal,23,"group 5, d-block",4,transition metal,50.94151,[ar] 3d3 4s2,2,,solid,2183,3680,,5.5,,,,21.5,444,24.89,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2101, 2289, 2523, 2814, 3187, 3679",5,pauling scale: 1.63,"1st: 650.9 kj/mol, 2nd: 1414 kj/mol, 3rd: 2830 kj/mol, (more)",153±8 pm,,body-centered cubic (bcc),,30.7,paramagnetic,7440-62-2,andrés manuel del río (1801),nils gabriel sefström (1830),"iso, na, half-life, dm, de (mev), dp, 48v, syn, 15.9735 d, ?+, 4.0123, 48ti, 49v, syn, 330 d, ?, 0.6019, 49ti, 50v, 0.25%, 1.5×1017 y, ?, 2.2083, 50ti, ??, 1.0369, 50cr, 51v, 99.75%, 51v is stable with 28 neutrons",2101,,nils gabriel sefström (1830),6,empirical: 134 pm,4560,8.4,197,128,47,160,6.7,600–742 mpa,0.37,628–640 mpa,,,,,,,,,,,,,,,,,,,
